gene_id	GSM2360001	GSM2360002	GSM2360003	GSM2360004	GSM2360005	GSM2360006
ENSMUSG00000029580	417600	5655	7923	9031	10792	7689
ENSMUSG00000057666	150	3	6	2	0	0
ENSMUSG00000060802	16650	631	435	314	398	388
ENSMUSG00000025630	2100	56	47	34	76	40
ENSMUSG00000020524	1250	29	115	92	36	45
ENSMUSG00000021577	13800	223	285	101	86	66
ENSMUSG00000027596	150	3	2	0	1	3
ENSMUSG00000069516	5700	99	105	105	37	133
ENSMUSG00000028526	2500	39	32	21	20	25
ENSMUSG00000071866	1901950	64720	47745	58008	73428	52684
ENSMUSG00000010000	9150	395	172	235	209	125
ENSMUSG00000010001	2300	98	100	71	51	97
ENSMUSG00000010002	5500	97	81	120	67	78
ENSMUSG00000010003	3500	56	29	44	39	56
ENSMUSG00000010004	1550	33	21	24	12	23
ENSMUSG00000010005	2200	52	68	65	56	81
ENSMUSG00000010006	16600	507	231	198	254	368
ENSMUSG00000010007	4700	134	88	169	103	95
ENSMUSG00000010008	75750	546	1391	1018	787	942
ENSMUSG00000010009	10400	219	211	66	143	117
ENSMUSG00000010010	7900	196	93	202	141	137
ENSMUSG00000010011	147200	4345	4601	3033	1872	2636
ENSMUSG00000010012	19900	473	603	681	437	393
ENSMUSG00000010013	5050	46	37	59	42	78
ENSMUSG00000010014	9350	108	146	82	73	48
ENSMUSG00000010015	16300	425	495	486	311	476
ENSMUSG00000010016	705450	9623	6397	10320	3372	7382
ENSMUSG00000010017	3900	94	61	64	121	143
ENSMUSG00000010018	4700	100	78	136	169	81
ENSMUSG00000010019	49300	1324	747	1559	810	1779
ENSMUSG00000010020	1700	28	29	16	26	32
ENSMUSG00000010021	12450	93	146	82	60	107
ENSMUSG00000010022	37000	1716	2963	817	615	1666
ENSMUSG00000010023	36000	413	551	275	381	547
ENSMUSG00000010024	10600	110	152	219	186	194
ENSMUSG00000010025	33450	967	937	637	757	782
ENSMUSG00000010026	150	3	3	1	1	0
ENSMUSG00000010027	34950	536	1474	840	925	1590
ENSMUSG00000010028	1250	8	21	24	19	41
ENSMUSG00000010029	200	6	5	7	4	9
ENSMUSG00000010030	16800	237	243	97	263	307
ENSMUSG00000010031	23900	771	782	343	628	744
ENSMUSG00000010032	4450	38	35	55	42	56
ENSMUSG00000010033	1000	15	16	17	34	27
ENSMUSG00000010034	7800	194	114	132	175	132
ENSMUSG00000010035	4750	133	243	155	107	199
ENSMUSG00000010036	199900	2942	2834	3532	1887	1740
ENSMUSG00000010037	23800	1043	455	596	700	1253
ENSMUSG00000010038	6750	155	188	214	367	335
ENSMUSG00000010039	69150	1722	724	2037	1482	1467
ENSMUSG00000010040	2450	96	105	155	127	132
ENSMUSG00000010041	1300	28	42	20	17	22
ENSMUSG00000010042	24050	406	314	786	210	597
ENSMUSG00000010043	11300	364	386	525	660	711
ENSMUSG00000010044	4050	92	84	95	71	93
ENSMUSG00000010045	2200	44	55	35	31	32
ENSMUSG00000010046	8400	410	295	160	226	159
ENSMUSG00000010047	0	1	1	0	1	0
ENSMUSG00000010048	37800	679	721	404	560	601
ENSMUSG00000010049	19000	291	568	374	308	558
ENSMUSG00000010050	100	5	11	3	10	5
ENSMUSG00000010051	25450	398	335	215	149	158
ENSMUSG00000010052	800	22	27	41	31	40
ENSMUSG00000010053	49400	1203	1499	454	357	861
ENSMUSG00000010054	200	2	1	4	3	10
ENSMUSG00000010055	1000	34	34	31	30	7
ENSMUSG00000010056	18700	433	1021	395	836	702
ENSMUSG00000010057	54200	1861	1265	1292	1299	768
ENSMUSG00000010058	50	1	1	0	4	2
ENSMUSG00000010059	3600	55	54	61	31	31
ENSMUSG00000010060	9550	456	346	276	387	248
ENSMUSG00000010061	1000	38	66	50	35	26
ENSMUSG00000010062	172750	3459	2435	3203	4614	2966
ENSMUSG00000010063	1000	13	14	4	14	12
ENSMUSG00000010064	22750	260	130	193	276	289
ENSMUSG00000010065	1350	22	13	20	23	17
ENSMUSG00000010066	186600	2736	2385	3666	3973	2579
ENSMUSG00000010067	4200	109	190	155	177	151
ENSMUSG00000010068	1950	40	64	99	31	80
ENSMUSG00000010069	250	5	2	3	11	2
ENSMUSG00000010070	250800	2659	3816	3805	5526	6215
ENSMUSG00000010071	25800	415	935	1071	514	582
ENSMUSG00000010072	24000	576	541	928	482	565
