gene_id	GSM2360001	GSM2360002	GSM2360003	GSM2360004	GSM2360005	GSM2360006
ENSMUSG00000029580	8352	5655	7923	9031	10792	7689
ENSMUSG00000057666	3	3	6	2	0	0
ENSMUSG00000060802	333	631	435	314	398	388
ENSMUSG00000025630	42	56	47	34	76	40
ENSMUSG00000020524	25	29	115	92	36	45
ENSMUSG00000021577	276	223	285	101	86	66
ENSMUSG00000027596	3	3	2	0	1	3
ENSMUSG00000069516	114	99	105	105	37	133
ENSMUSG00000028526	50	39	32	21	20	25
ENSMUSG00000071866	38039	64720	47745	58008	73428	52684
ENSMUSG00000010000	183	395	172	235	209	125
ENSMUSG00000010001	46	98	100	71	51	97
ENSMUSG00000010002	110	97	81	120	67	78
ENSMUSG00000010003	70	56	29	44	39	56
ENSMUSG00000010004	31	33	21	24	12	23
ENSMUSG00000010005	44	52	68	65	56	81
ENSMUSG00000010006	332	507	231	198	254	368
ENSMUSG00000010007	94	134	88	169	103	95
ENSMUSG00000010008	1515	546	1391	1018	787	942
ENSMUSG00000010009	208	219	211	66	143	117
ENSMUSG00000010010	158	196	93	202	141	137
ENSMUSG00000010011	2944	4345	4601	3033	1872	2636
ENSMUSG00000010012	398	473	603	681	437	393
ENSMUSG00000010013	101	46	37	59	42	78
ENSMUSG00000010014	187	108	146	82	73	48
ENSMUSG00000010015	326	425	495	486	311	476
ENSMUSG00000010016	14109	9623	6397	10320	3372	7382
ENSMUSG00000010017	78	94	61	64	121	143
ENSMUSG00000010018	94	100	78	136	169	81
ENSMUSG00000010019	986	1324	747	1559	810	1779
ENSMUSG00000010020	34	28	29	16	26	32
ENSMUSG00000010021	249	93	146	82	60	107
ENSMUSG00000010022	740	1716	2963	817	615	1666
ENSMUSG00000010023	720	413	551	275	381	547
ENSMUSG00000010024	212	110	152	219	186	194
ENSMUSG00000010025	669	967	937	637	757	782
ENSMUSG00000010026	3	3	3	1	1	0
ENSMUSG00000010027	699	536	1474	840	925	1590
ENSMUSG00000010028	25	8	21	24	19	41
ENSMUSG00000010029	4	6	5	7	4	9
ENSMUSG00000010030	336	237	243	97	263	307
ENSMUSG00000010031	478	771	782	343	628	744
ENSMUSG00000010032	89	38	35	55	42	56
ENSMUSG00000010033	20	15	16	17	34	27
